sentence1,sentence2,score
Một người phụ nữ đang hái cà chua.,Một người phụ nữ đang đổ bột vào bát.,1.0
Một người đàn ông đang nhìn vào màn hình máy tính.,Một người đàn ông đang sử dụng máy tính xách tay.,2.75
Cậu bé đang đi xe ba bánh.,Một người phụ nữ đang đi xe tay ga nước.,1.25
Hai người đàn ông cạnh tranh trong một cuộc đua lăn lốp.,Hai người lật lốp máy kéo trong một cuộc đua.,2.75
Một người đang cắt thịt.,Một người cưỡi một cơ khí,0.0
Một người đàn ông đang chơi violin.,Một người phụ nữ đang sử dụng máy may.,0.0
Em bé bò qua ngưỡng cửa.,Một em bé đang bò trên sàn nhà.,2.4
Một người đàn ông đang chơi đàn phím.,Một người đang chơi piano.,2.2
Một người đàn ông đang ngửi thấy mùi hai chiếc pizza.,Một người phụ nữ đang cho một người đàn ông ăn.,0.2
Một con khỉ kéo đuôi của một.,Một con khỉ đang trêu chọc một tại sở thú.,2.8
Một nằm ngửa trên sàn gỗ.,Một đang nằm trên sàn nhà.,4.0
Một người phụ nữ đang chiên một cái gì đó trong chảo.,Một người đàn ông đang chơi guitar của mình.,0.0
Một người đàn ông cho gia vị vào bát nước.,Người đàn ông thêm gia vị vào nước trong một cái bát.,5.0
Một phụ nữ lớn tuổi đang đổ dầu vào chảo rán.,Một người đàn ông bị trói đang cho vào nước.,0.0
Một người phụ nữ đang cắt một củ hành tây.,Một người phụ nữ đang cắt một phần thành một nửa củ hành tây.,3.2
Người phụ nữ nhặt con kangaroo lên.,Một người phụ nữ đang mang theo một con chuột túi.,3.5
Một cắn vào một cái hộp.,Một mở một hộp thức ăn.,1.75
Một người phụ nữ đang ra mắt một con cá.,Một người đàn ông bắt được một con cá.,1.25
Một người đàn ông đang cắt cỏ.,Một người đàn ông đang phá vỡ bê tông.,0.833
Một con mèo đang xem TV.,Một người đàn ông đang cắt lát.,0.0
Cậu bé bị mắc kẹt trong cửa chuồng chó.,Một đứa trẻ bị mắc kẹt trong chuồng chó.,3.75
Mọi người lật vào bể bơi.,Đàn ông đang rơi xuống hồ bơi.,2.75
Một người phụ nữ bơi dưới nước.,Một người phụ nữ đang bơi.,3.8
Một người đàn ông đang chơi guitar.,Một người phụ nữ đang nhảy múa.,0.2
Một chiếc máy bay đang bay trên không.,Một chiếc máy bay của South African Airways đang bay trên bầu trời xanh.,3.4
Một con gấu đang chạy trốn khỏi hai.,Một con gấu đang chiến đấu với sói.,1.4
Một người phụ nữ đang nghỉ ngơi trên một chiếc bè nổi.,Một người phụ nữ thư giãn trong một ống bên trong.,3.8
Một người đàn ông đang chết trong phòng phẫu thuật.,Một người đàn ông đang hôn một người phụ nữ trên sân khấu.,0.4
Một người đàn ông đang cầm một chiếc lá.,Một người phụ nữ đang xem tivi.,0.0
Một người đang cưỡi ngựa.,Một người phụ nữ đang cắt khoai tây.,0.0
Một người phụ nữ đang cắt bạch tuộc.,Một người đàn ông đang chơi guitar.,0.0
Một người đàn ông đang đập vỡ bình nước.,Một người phụ nữ đang bóc vỏ tỏi.,0.2
Một người đàn ông đang chơi guitar.,Một người phụ nữ đang cắt rau.,0.0
Một cô gái đang ăn một chiếc bánh cupcake.,Một người đàn ông đang cắt một quả dưa chuột.,0.0
Cô bé chơi trên cỏ với một và một quả bóng.,Một em bé chơi với một và quả bóng.,3.8
Mọi người cưỡi và chèo một chiếc bè.,Bốn người đang trôi nổi trên một chiếc bè.,2.25
Người phụ nữ cắt một củ khoai tây.,Một người đàn ông đang cắt một củ khoai tây.,2.4
Tên lửa phát nổ.,Một tên lửa phát nổ.,3.2
Một đang chơi trong tuyết.,Một đang vỗ vào một con ruồi trên thảm trước nó.,1.6
Một người phụ nữ đang khiêu vũ với những người phụ nữ khác.,Một người phụ nữ đang xé thịt gà.,0.4
Một cậu bé đang đẩy một chiếc xe tải.,Một người đang cắt một quả cà chua.,0.0
Một cậu bé đang thực hiện một số bước nhảy.,Một cậu bé đang rót thứ gì đó từ bình.,0.4
Một người phụ nữ đang mở một lon soda và uống nó.,Một người phụ nữ đang cưỡi trên một con voi.,0.6
Một người đàn ông đang lắp ráp các bộ phận loa.,Một người đàn ông đang chơi guitar.,1.0
đi dọc theo mép hồ bơi.,Một đang đi dọc theo một hồ bơi.,4.6
Bơ đang được cho vào một cái bát.,Một người đàn ông cắt bơ vào bát trộn.,4.25
Gấu trúc đang ăn.,Một người đàn ông đang ăn.,1.5
Có người ngã ngựa.,Một người đàn ông bị hất văng khỏi ngựa.,3.5
Một người phụ nữ gọt vỏ một quả táo.,Một người đàn ông bật bánh xe máy.,0.0
Một người đàn ông đang tham gia một số lớp học toán.,Một người đàn ông đang rửa bít tết.,0.0
Động vật đang chơi trong nước.,Hai người đàn ông đang chơi bóng bàn.,0.0
Một người đàn ông đang cưỡi ngựa và nhảy qua chướng ngại vật.,Một người đàn ông đang đá một quả bóng đá.,0.333
Một người đang làm thủ thuật bút chì bằng tay của mình.,Một người đang cắt cà rốt làm đôi.,0.333
Người này châm lửa đốt camera.,Một người đang thổi đuốc máy ảnh.,3.333
Người đàn ông đang cắt băng dính từ hộp.,Một người đàn ông đang mở một chiếc hộp.,4.333
Một người đàn ông đang câu cá trên sông.,Một người đàn ông vừa hát vừa đi bộ xuống vỉa hè.,0.8
Một người đàn ông đang đi xe đạp.,Một người phụ nữ đang nhảy múa trên đường phố.,0.2
Một người đàn ông đang chống đẩy.,Một người phụ nữ đang cắt một số bạch tuộc.,0.0
Một người đàn ông đang chơi guitar.,Một người phụ nữ đang thái một ít thịt lợn.,0.0
Cậu bé đang hát và chơi guitar.,Một em bé đang chơi guitar.,2.8
Một người phụ nữ đang đánh phấn mặt.,Người phụ nữ đang gõ ngón tay lên bàn.,0.8
Một người phụ nữ đang gọt vỏ khoai tây.,Một con sư tử đang đi bộ xung quanh.,0.0
Một người phụ nữ đang bắn một khẩu súng trường.,Một người đàn ông đang thực hiện các pha nguy hiểm.,0.25
Một người phụ nữ đặt một vòng hoa trên vai của một người đàn ông.,Một người đàn ông đổ nước lên đầu phi công.,0.5
Một bà già đang bắt tay với một người đàn ông.,Một người đàn ông và một người phụ nữ bắt tay.,3.75
Người phụ nữ đang trượt nước.,Một người phụ nữ đang thức dậy trên hồ.,1.75
Cây cối đang uốn cong trong cơn bão.,Cây cối bị gió rất mạnh.,2.667
Một người đàn ông và một người phụ nữ đang đi trên một chiếc xe hơi.,Một người phụ nữ đang chiên tôm.,0.4
Một người đàn ông đang di chuyển một chi cây.,Người phụ nữ đang chơi violin.,0.0
Một người đàn ông chơi piano.,Một người phụ nữ đang chơi violin.,1.0
Một người đổ dầu lên chảo.,Một người đang thái hạt lựu một củ hành tây.,0.8
Con vật đang ăn.,Một người phụ nữ đang nhảy múa.,0.0
Người phụ nữ đang dắt chó đi dạo.,Một người phụ nữ dắt chó đi dạo trên phố.,4.0
Một nhóm người hát.,Một số người đang hát.,5.0
Con mèo đang uống sữa.,Một con mèo đang liếm từ một đĩa sữa.,4.4
Một cô gái đang làm mí mắt.,Một người phụ nữ đang thoa phấn mắt.,2.0
Hai người đàn ông đang đánh nhau.,Hai người đàn ông đang chiến đấu bằng một hình thức võ thuật.,2.8
Sĩ quan quân đội sủa vào các tân binh.,Một sĩ quan đang nói chuyện với các tân binh.,2.5
Người đàn ông đang bỏ gà vào thùng chứa.,Một người đàn ông đang bỏ thức ăn vào hộp.,2.5
Một người đàn ông đang buộc trên một máy viết tốc ký.,Người đàn ông đã sử dụng một máy ghi tốc ký.,2.25
Một người phụ nữ đang thêm mì ống vào nồi nước.,Một người phụ nữ đang làm mì.,3.6
Một người phụ nữ đang nằm trên một tấm chăn trên một tảng đá và đọc một cuốn sách.,Một người phụ nữ ngồi đang hát một bài hát và chơi guitar.,1.2
Hai chú chó con đang chơi với nhau.,Một số người đàn ông đang chơi bóng đá.,0.2
Một người đàn ông đang chạy trên một cánh đồng.,Một người đàn ông trèo lên một sợi dây.,1.0
Một người đàn ông đang ôm ai đó.,Một người đàn ông đang chụp ảnh.,0.4
Ai đó đang đổ thuốc vào nồi.,Một người đàn ông cho rau vào nồi.,2.8
Một cặp vợ chồng đang đi dạo.,Một số người đàn ông đang cưa.,0.0
Một người đang chơi guitar.,Người đàn ông chơi guitar của mình.,3.0
Một người đang thêm thức ăn vào chảo.,Một người phụ nữ cho cơm vào chảo.,3.0
Một nhóm chim cánh cụt đang đi bộ.,Một lượng lớn chim cánh cụt đang hướng ra đại dương.,2.8
Một người đàn ông đang chơi guitar.,Ai đó đang xử lý một chiếc bánh.,0.0
Một đang nhảy trên tấm bạt lò xo.,Một cậu bé đang chơi guitar.,0.0
Một người đàn ông đang lắc một thùng chứa trên bồn rửa nhà bếp.,Một người đàn ông đang đổ một hộp nhựa.,2.2
Một người đàn ông đang đi bộ với một con ngựa.,Một người đàn ông đang dắt một con ngựa đi vòng quanh bên cạnh nó.,3.75
Giấy đang được cắt bằng kéo.,Một mảnh giấy đang được cắt.,4.0
Một người bóc vỏ tôm.,Người phụ nữ bóc vỏ tôm.,3.5
Một người đàn ông đang chơi guitar.,Một người đàn ông cố gắng đọc báo.,0.8
Một người đàn ông đang dọn giường trong khách sạn.,Một người đàn ông đang cầm một con vật.,0.8
kéo đuôi chó và sau đó là chân của nó.,Một con khỉ kéo đuôi chó.,1.75
Một người phụ nữ đập hai quả trứng trong một cái bát.,Một người đang trộn các thành phần trong một cái bát.,3.0
Một người đàn ông đang nhảy dây thừng bên ngoài.,Một người phụ nữ đang cắt một quả dưa chuột.,0.0
Một người đang cắt một ít hành tây.,Một con chuột hamster đang hát.,0.0
Một người phụ nữ cầm một con chuột túi.,Một người đàn ông đội mũ hát một bài hát.,0.0
Các cầu thủ bóng đá đang đá một quả bóng đá vào khung thành.,Một cầu thủ bóng đá ghi bàn.,3.8
Một người phụ nữ đang nấu một cái gì đó.,Một người phụ nữ đang đổ nguyên liệu vào chảo rán.,3.2
Một người phụ nữ đang bơi trên bãi biển.,Một người phụ nữ tung tăng trong sóng biển.,3.2
Một người đàn ông đang cõng một người đàn ông khác.,Một người đàn ông phun nước từ vòi cho một người đàn ông khác.,0.8
Người phụ nữ đang cho bột nhão vào một món ăn.,Một người phụ nữ đang kéo một loại goo dính ra khỏi bát.,1.5
Một người đàn ông đang giơ lên và nói về một chiếc áo phông You Tube màu xám.,Một người đàn ông đang khoe áo phông.,2.75
Ai đó đổ dầu ô liu vào một bát nêm cà chua.,Người đàn ông đổ dầu lên những lát cà chua.,3.75
Một người đàn ông đang chơi guitar.,Người đàn ông chơi guitar với một người bạn.,3.2
Ai đó đang luộc đậu bắp trong nồi.,Ai đó đổ dầu ô liu vào một bát nêm cà chua.,0.8
Một người đang gọt vỏ khoai tây.,Một con mèo đang liếm một cái chai nhỏ.,0.0
Một con mèo đang nhảy vào một cái hộp.,Một thanh niên đang nói chuyện với một chiếc lá.,0.0
